,0,1
AUROC,0.875029226093056,0.875029226093056
Threshold,1,1
sensitiveAttr,0,1
N_0,11,83
N_1,6,85
ACC,0.8823529411764706,0.875
TPR,0.8333333333333334,0.8352941176470589
TNR,0.9090909090909091,0.9156626506024096
PPV,0.8333333333333334,0.9102564102564102
NPV,0.9090909090909091,0.8444444444444444
PR,0.35294117647058826,0.4642857142857143
NR,0.6470588235294118,0.5357142857142857
FPR,0.09090909090909094,0.08433734939759041
FNR,0.16666666666666663,0.16470588235294115
EOpp0,0.006571741511500528,0.006571741511500528
EOpp1,0.0019607843137254832,0.0019607843137254832
EOdd,0.004610957197775045,0.004610957197775045
EOdd0,0.004610957197775045,0.004610957197775045
EOdd1,0.004610957197775045,0.004610957197775045
PQD,0.9916666666666667,0.9916666666666667
PQD(class),0.9916666666666667,0.9916666666666667
EPPV,0.9154929577464789,0.9154929577464789
ENPV,0.9288888888888889,0.9288888888888889
DPM(Positive),0.7601809954751132,0.7601809954751132
DPM(Negative),0.8279220779220778,0.8279220779220778
EOM(Positive),0.9976525821596244,0.9976525821596244
EOM(Negative),0.992822966507177,0.992822966507177
OverAllAcc,0.8756756756756757,0.8756756756756757
TOTALACC,0.8823529411764706,0.875
TOTALACCDIF,0.007352941176470562,0.007352941176470562
ACCDIF,0.007352941176470562,0.007352941176470562
